# split	kind	input	expected (one trailing space added by test)
dev	positive	ghbdtn	привет
dev	negative	привет	привет
dev	positive	plhfdcndeqnt	здравствуйте
dev	negative	здравствуйте	здравствуйте
holdout	positive	gj;fkeqcnf	пожалуйста
holdout	negative	пожалуйста	пожалуйста
holdout	positive	cgfcb,j	спасибо
holdout	negative	спасибо	спасибо
holdout	positive	bpdbybnt	извините
holdout	negative	извините	извините
dev	positive	cdblfybz	свидания
dev	negative	свидания	свидания
dev	positive	[jhjij	хорошо
dev	negative	хорошо	хорошо
holdout	positive	gkj[j	плохо
holdout	negative	плохо	плохо
holdout	positive	lf	да
holdout	negative	да	да
holdout	positive	ytn	нет
holdout	negative	нет	нет
dev	positive	vj;tn	может
dev	negative	может	может
dev	positive	yflj	надо
dev	negative	надо	надо
holdout	positive	ye;yj	нужно
holdout	negative	нужно	нужно
holdout	positive	[jxe	хочу
holdout	negative	хочу	хочу
holdout	positive	vj;yj	можно
holdout	negative	можно	можно
dev	positive	ctujlyz	сегодня
dev	negative	сегодня	сегодня
dev	positive	dxthf	вчера
dev	negative	вчера	вчера
holdout	positive	pfdnhf	завтра
holdout	negative	завтра	завтра
holdout	positive	enhjv	утром
holdout	negative	утром	утром
holdout	positive	dtxthjv	вечером
holdout	negative	вечером	вечером
dev	positive	yjxm.	ночью
dev	negative	ночью	ночью
dev	positive	lytv	днем
dev	negative	днем	днем
holdout	positive	dhtvz	время
holdout	negative	время	время
holdout	positive	xfc	час
holdout	negative	час	час
holdout	positive	vbyenf	минута
holdout	negative	минута	минута
dev	positive	ctreylf	секунда
dev	negative	секунда	секунда
dev	positive	ytltkz	неделя
dev	negative	неделя	неделя
holdout	positive	vtczw	месяц
holdout	negative	месяц	месяц
holdout	positive	ujl	год
holdout	negative	год	год
holdout	positive	xtkjdtr	человек
holdout	negative	человек	человек
dev	positive	k.lb	люди
dev	negative	люди	люди
dev	positive	ht,tyjr	ребенок
dev	negative	ребенок	ребенок
holdout	positive	ltnb	дети
holdout	negative	дети	дети
holdout	positive	ve;	муж
holdout	negative	муж	муж
holdout	positive	;tyf	жена
holdout	negative	жена	жена
dev	positive	lheu	друг
dev	negative	друг	друг
dev	positive	gjlheuf	подруга
dev	negative	подруга	подруга
holdout	positive	ctvmz	семья
holdout	negative	семья	семья
holdout	positive	hjlbntkb	родители
holdout	negative	родители	родители
holdout	positive	,hfn	брат
holdout	negative	брат	брат
dev	positive	ctcnhf	сестра
dev	negative	сестра	сестра
dev	positive	csy	сын
dev	negative	сын	сын
holdout	positive	ljxm	дочь
holdout	negative	дочь	дочь
holdout	positive	hf,jnftn	работает
holdout	negative	работает	работает
holdout	positive	hf,jnfkb	работали
holdout	negative	работали	работали
dev	positive	hf,jnftv	работаем
dev	negative	работаем	работаем
dev	positive	ltkftn	делает
dev	negative	делает	делает
holdout	positive	cltkfk	сделал
holdout	negative	сделал	сделал
holdout	positive	cltkftn	сделает
holdout	negative	сделает	сделает
holdout	positive	ujdjhbn	говорит
holdout	negative	говорит	говорит
dev	positive	ujdjhbkb	говорили
dev	negative	говорили	говорили
dev	positive	gbitn	пишет
dev	negative	пишет	пишет
holdout	positive	xbnftn	читает
holdout	negative	читает	читает
holdout	positive	ckeiftn	слушает
holdout	negative	слушает	слушает
holdout	positive	cvjnhbn	смотрит
holdout	negative	смотрит	смотрит
dev	positive	bltn	идет
dev	negative	идет	идет
dev	positive	blen	идут
dev	negative	идут	идут
holdout	positive	tplbn	ездит
holdout	negative	ездит	ездит
holdout	positive	ktnbn	летит
holdout	negative	летит	летит
holdout	positive	,t;bn	бежит
holdout	negative	бежит	бежит
dev	positive	cnjbn	стоит
dev	negative	стоит	стоит
dev	positive	cblbn	сидит
dev	negative	сидит	сидит
holdout	positive	pyftn	знает
holdout	negative	знает	знает
holdout	positive	pyfkb	знали
holdout	negative	знали	знали
holdout	positive	gjvybn	помнит
holdout	negative	помнит	помнит
dev	positive	levftn	думает
dev	negative	думает	думает
dev	positive	[jxtn	хочет
dev	negative	хочет	хочет
holdout	positive	k.,bn	любит
holdout	negative	любит	любит
holdout	positive	,jbncz	боится
holdout	negative	боится	боится
holdout	positive	jnrhsk	открыл
holdout	negative	открыл	открыл
dev	positive	pfrhsk	закрыл
dev	negative	закрыл	закрыл
dev	positive	drk.xbk	включил
dev	negative	включил	включил
holdout	positive	dsrk.xbk	выключил
holdout	negative	выключил	выключил
holdout	positive	yf;fk	нажал
holdout	negative	нажал	нажал
holdout	positive	ds,hfk	выбрал
holdout	negative	выбрал	выбрал
dev	positive	cj[hfybk	сохранил
dev	negative	сохранил	сохранил
dev	positive	cj[hfybnm	сохранить
dev	negative	сохранить	сохранить
holdout	positive	elfkbk	удалил
holdout	negative	удалил	удалил
holdout	positive	crjgbhjdfk	скопировал
holdout	negative	скопировал	скопировал
holdout	positive	dcnfdbk	вставил
holdout	negative	вставил	вставил
dev	positive	jnghfdbk	отправил
dev	negative	отправил	отправил
dev	positive	gjkexbk	получил
dev	negative	получил	получил
holdout	positive	pfgecnbk	запустил
holdout	negative	запустил	запустил
holdout	positive	jcnfyjdbk	остановил
holdout	negative	остановил	остановил
holdout	positive	ljrevtyn	документ
holdout	negative	документ	документ
dev	positive	ljrevtyns	документы
dev	negative	документы	документы
dev	positive	ljrevtynfvb	документами
dev	negative	документами	документами
holdout	positive	afqk	файл
holdout	negative	файл	файл
holdout	positive	afqks	файлы
holdout	negative	файлы	файлы
holdout	positive	gfgrf	папка
holdout	negative	папка	папка
dev	positive	gfgrb	папки
dev	negative	папки	папки
dev	positive	rjvgm.nth	компьютер
dev	negative	компьютер	компьютер
holdout	positive	rjvgm.nths	компьютеры
holdout	negative	компьютеры	компьютеры
holdout	positive	rkfdbfnehf	клавиатура
holdout	negative	клавиатура	клавиатура
